NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
1,Brasil,,,...,1,Brasil,197912,dezembro 1979,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,,,...,1,Brasil,198001,janeiro 1980,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,,,...,1,Brasil,198002,fevereiro 1980,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,,,...,1,Brasil,198003,março 1980,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,,,...,1,Brasil,198004,abril 1980,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,,,...,1,Brasil,198005,maio 1980,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,,,...,1,Brasil,198006,junho 1980,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,,,...,1,Brasil,198007,julho 1980,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,,,...,1,Brasil,198008,agosto 1980,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,,,...,1,Brasil,198009,setembro 1980,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,,,...,1,Brasil,198010,outubro 1980,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,,,...,1,Brasil,198011,novembro 1980,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,99.25,1,Brasil,198012,dezembro 1980,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,99.67,1,Brasil,198101,janeiro 1981,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,103.07,1,Brasil,198102,fevereiro 1981,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,101.03,1,Brasil,198103,março 1981,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,103.27,1,Brasil,198104,abril 1981,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,103.00,1,Brasil,198105,maio 1981,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,103.41,1,Brasil,198106,junho 1981,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,104.78,1,Brasil,198107,julho 1981,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,105.85,1,Brasil,198108,agosto 1981,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,107.88,1,Brasil,198109,setembro 1981,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,99.52,1,Brasil,198110,outubro 1981,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,96.89,1,Brasil,198111,novembro 1981,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,95.62,1,Brasil,198112,dezembro 1981,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,95.86,1,Brasil,198201,janeiro 1982,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,96.29,1,Brasil,198202,fevereiro 1982,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,97.68,1,Brasil,198203,março 1982,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,96.61,1,Brasil,198204,abril 1982,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,98.65,1,Brasil,198205,maio 1982,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,101.64,1,Brasil,198206,junho 1982,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,101.84,1,Brasil,198207,julho 1982,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,102.75,1,Brasil,198208,agosto 1982,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,102.41,1,Brasil,198209,setembro 1982,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,101.19,1,Brasil,198210,outubro 1982,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,101.22,1,Brasil,198211,novembro 1982,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,104.79,1,Brasil,198212,dezembro 1982,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,108.00,1,Brasil,198301,janeiro 1983,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,110.38,1,Brasil,198302,fevereiro 1983,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,113.63,1,Brasil,198303,março 1983,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,115.03,1,Brasil,198304,abril 1983,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,114.67,1,Brasil,198305,maio 1983,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,120.24,1,Brasil,198306,junho 1983,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,127.94,1,Brasil,198307,julho 1983,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,134.69,1,Brasil,198308,agosto 1983,2265,IPCA - Variação acumulada em 12 meses
